"source","target","volume","year","source_part_of","kind"
"L00126","L00122","S033",1948,"","same_text"
"L00126","L00123","S033",1948,"","same_text"
"L00126","L00124","S033",1948,"","same_text"
"L00122","L00123","S033",1948,"","same_text"
"L00122","L00124","S033",1948,"","same_text"
"L00123","L00124","S033",1948,"","same_text"
"L00141","L00134","S034",1948,"","same_text"
"L00141","L00127","S034",1948,"","same_text"
"L00141","L00135","S034",1948,"","same_text"
"L00141","L00136","S034",1948,"","same_text"
"L00141","L00137","S034",1948,"","same_text"
"L00141","L00128","S034",1948,"","same_text"
"L00141","L00129","S034",1948,"","same_text"
"L00141","L00130","S034",1948,"","same_text"
"L00141","L00138","S034",1948,"","same_text"
"L00141","L00139","S034",1948,"","same_text"
"L00141","L00140","S034",1948,"","same_text"
"L00141","L00131","S034",1948,"","same_text"
"L00141","L00132","S034",1948,"","same_text"
"L00141","L00141","S034",1948,"","same_text"
"L00133","L00141","S034",1948,"L00141","part_of"
"L00134","L00141","S034",1948,"L00141","part_of"
"L00127","L00141","S034",1948,"L00141","part_of"
"L00135","L00141","S034",1948,"L00141","part_of"
"L00136","L00141","S034",1948,"L00141","part_of"
"L00137","L00141","S034",1948,"L00141","part_of"
"L00128","L00141","S034",1948,"L00141","part_of"
"L00129","L00141","S034",1948,"L00141","part_of"
"L00130","L00141","S034",1948,"L00141","part_of"
"L00138","L00141","S034",1948,"L00141","part_of"
"L00139","L00141","S034",1948,"L00141","part_of"
"L00140","L00141","S034",1948,"L00141","part_of"
"L00131","L00141","S034",1948,"L00141","part_of"
"L00132","L00141","S034",1948,"L00141","part_of"
"L00142","L00143","S035",1949,"","same_text"
"L00143","L00142","S035",1949,"L00142","part_of"
"L00148","L00145","S036",1949,"","same_text"
"L00148","L00146","S036",1949,"","same_text"
"L00148","L00147","S036",1949,"","same_text"
"L00148","L00148","S036",1949,"","same_text"
"L00144","L00142","S036",1949,"L00142","part_of"
"L00145","L00142","S036",1949,"L00142","part_of"
"L00146","L00142","S036",1949,"L00142","part_of"
"L00147","L00142","S036",1949,"L00142","part_of"
"L00149","L00150","S037",1949,"","same_text"
"L00151","L00152","S038",1949,"","same_text"
"L00151","L00153","S038",1949,"","same_text"
"L00151","L00154","S038",1949,"","same_text"
"L00151","L00155","S038",1949,"","same_text"
"L00152","L00153","S038",1949,"","same_text"
"L00152","L00154","S038",1949,"","same_text"
"L00152","L00155","S038",1949,"","same_text"
"L00153","L00154","S038",1949,"","same_text"
"L00153","L00155","S038",1949,"","same_text"
"L00154","L00155","S038",1949,"","same_text"
"L00167","L00157","S039",1949,"","same_text"
"L00167","L00158","S039",1949,"","same_text"
"L00167","L00159","S039",1949,"","same_text"
"L00167","L00165","S039",1949,"","same_text"
"L00167","L00160","S039",1949,"","same_text"
"L00167","L00161","S039",1949,"","same_text"
"L00167","L00162","S039",1949,"","same_text"
"L00167","L00163","S039",1949,"","same_text"
"L00167","L00166","S039",1949,"","same_text"
"L00167","L00164","S039",1949,"","same_text"
"L00167","L00167","S039",1949,"","same_text"
"L00156","L00167","S039",1949,"L00167","part_of"
"L00157","L00167","S039",1949,"L00167","part_of"
"L00158","L00167","S039",1949,"L00167","part_of"
"L00159","L00167","S039",1949,"L00167","part_of"
"L00165","L00167","S039",1949,"L00167","part_of"
"L00160","L00167","S039",1949,"L00167","part_of"
"L00161","L00167","S039",1949,"L00167","part_of"
"L00162","L00167","S039",1949,"L00167","part_of"
"L00163","L00167","S039",1949,"L00167","part_of"
"L00166","L00167","S039",1949,"L00167","part_of"
"L00164","L00167","S039",1949,"L00167","part_of"
"L00168","L00169","S040",1949,"","same_text"
"L00168","L00170","S040",1949,"","same_text"
"L00168","L00171","S040",1949,"","same_text"
"L00168","L00172","S040",1949,"","same_text"
"L00168","L00173","S040",1949,"","same_text"
"L00168","L00174","S040",1949,"","same_text"
"L00168","L00175","S040",1949,"","same_text"
"L00168","L00176","S040",1949,"","same_text"
"L00169","L00170","S040",1949,"","same_text"
"L00169","L00171","S040",1949,"","same_text"
"L00169","L00172","S040",1949,"","same_text"
"L00169","L00173","S040",1949,"","same_text"
"L00169","L00174","S040",1949,"","same_text"
"L00169","L00175","S040",1949,"","same_text"
"L00169","L00176","S040",1949,"","same_text"
"L00170","L00171","S040",1949,"","same_text"
"L00170","L00172","S040",1949,"","same_text"
"L00170","L00173","S040",1949,"","same_text"
"L00170","L00174","S040",1949,"","same_text"
"L00170","L00175","S040",1949,"","same_text"
"L00170","L00176","S040",1949,"","same_text"
"L00171","L00172","S040",1949,"","same_text"
"L00171","L00173","S040",1949,"","same_text"
"L00171","L00174","S040",1949,"","same_text"
"L00171","L00175","S040",1949,"","same_text"
"L00171","L00176","S040",1949,"","same_text"
"L00172","L00173","S040",1949,"","same_text"
"L00172","L00174","S040",1949,"","same_text"
"L00172","L00175","S040",1949,"","same_text"
"L00172","L00176","S040",1949,"","same_text"
"L00173","L00174","S040",1949,"","same_text"
"L00173","L00175","S040",1949,"","same_text"
"L00173","L00176","S040",1949,"","same_text"
"L00174","L00175","S040",1949,"","same_text"
"L00174","L00176","S040",1949,"","same_text"
"L00175","L00176","S040",1949,"","same_text"
"L00184","L00177","S041",1949,"","same_text"
"L00184","L00178","S041",1949,"","same_text"
"L00184","L00179","S041",1949,"","same_text"
"L00184","L00180","S041",1949,"","same_text"
"L00184","L00181","S041",1949,"","same_text"
"L00184","L00182","S041",1949,"","same_text"
"L00184","L00183","S041",1949,"","same_text"
"L00177","L00178","S041",1949,"","same_text"
"L00177","L00179","S041",1949,"","same_text"
"L00177","L00180","S041",1949,"","same_text"
"L00177","L00181","S041",1949,"","same_text"
"L00177","L00182","S041",1949,"","same_text"
"L00177","L00183","S041",1949,"","same_text"
"L00178","L00179","S041",1949,"","same_text"
"L00178","L00180","S041",1949,"","same_text"
"L00178","L00181","S041",1949,"","same_text"
"L00178","L00182","S041",1949,"","same_text"
"L00178","L00183","S041",1949,"","same_text"
"L00179","L00180","S041",1949,"","same_text"
"L00179","L00181","S041",1949,"","same_text"
"L00179","L00182","S041",1949,"","same_text"
"L00179","L00183","S041",1949,"","same_text"
"L00180","L00181","S041",1949,"","same_text"
"L00180","L00182","S041",1949,"","same_text"
"L00180","L00183","S041",1949,"","same_text"
"L00181","L00182","S041",1949,"","same_text"
"L00181","L00183","S041",1949,"","same_text"
"L00182","L00183","S041",1949,"","same_text"
"L00185","L00186","S042",1949,"","same_text"
"L00187","L00188","S043",1949,"","same_text"
"L00187","L00189","S043",1949,"","same_text"
"L00187","L00190","S043",1949,"","same_text"
"L00187","L00191","S043",1949,"","same_text"
"L00187","L00192","S043",1949,"","same_text"
"L00187","L00193","S043",1949,"","same_text"
"L00187","L00194","S043",1949,"","same_text"
"L00187","L00195","S043",1949,"","same_text"
"L00187","L00196","S043",1949,"","same_text"
"L00188","L00189","S043",1949,"","same_text"
"L00188","L00190","S043",1949,"","same_text"
"L00188","L00191","S043",1949,"","same_text"
"L00188","L00192","S043",1949,"","same_text"
"L00188","L00193","S043",1949,"","same_text"
"L00188","L00194","S043",1949,"","same_text"
"L00188","L00195","S043",1949,"","same_text"
"L00188","L00196","S043",1949,"","same_text"
"L00189","L00190","S043",1949,"","same_text"
"L00189","L00191","S043",1949,"","same_text"
"L00189","L00192","S043",1949,"","same_text"
"L00189","L00193","S043",1949,"","same_text"
"L00189","L00194","S043",1949,"","same_text"
"L00189","L00195","S043",1949,"","same_text"
"L00189","L00196","S043",1949,"","same_text"
"L00190","L00191","S043",1949,"","same_text"
"L00190","L00192","S043",1949,"","same_text"
"L00190","L00193","S043",1949,"","same_text"
"L00190","L00194","S043",1949,"","same_text"
"L00190","L00195","S043",1949,"","same_text"
"L00190","L00196","S043",1949,"","same_text"
"L00191","L00192","S043",1949,"","same_text"
"L00191","L00193","S043",1949,"","same_text"
"L00191","L00194","S043",1949,"","same_text"
"L00191","L00195","S043",1949,"","same_text"
"L00191","L00196","S043",1949,"","same_text"
"L00192","L00193","S043",1949,"","same_text"
"L00192","L00194","S043",1949,"","same_text"
"L00192","L00195","S043",1949,"","same_text"
"L00192","L00196","S043",1949,"","same_text"
"L00193","L00194","S043",1949,"","same_text"
"L00193","L00195","S043",1949,"","same_text"
"L00193","L00196","S043",1949,"","same_text"
"L00194","L00195","S043",1949,"","same_text"
"L00194","L00196","S043",1949,"","same_text"
"L00195","L00196","S043",1949,"","same_text"
"L00197","L00198","S044",1950,"","same_text"
"L00199","L00200","S045",1950,"","same_text"
"L00199","L00201","S045",1950,"","same_text"
"L00199","L00202","S045",1950,"","same_text"
"L00199","L00203","S045",1950,"","same_text"
"L00199","L00204","S045",1950,"","same_text"
"L00199","L00205","S045",1950,"","same_text"
"L00199","L00206","S045",1950,"","same_text"
"L00200","L00201","S045",1950,"","same_text"
"L00200","L00202","S045",1950,"","same_text"
"L00200","L00203","S045",1950,"","same_text"
"L00200","L00204","S045",1950,"","same_text"
"L00200","L00205","S045",1950,"","same_text"
"L00200","L00206","S045",1950,"","same_text"
"L00201","L00202","S045",1950,"","same_text"
"L00201","L00203","S045",1950,"","same_text"
"L00201","L00204","S045",1950,"","same_text"
"L00201","L00205","S045",1950,"","same_text"
"L00201","L00206","S045",1950,"","same_text"
"L00202","L00203","S045",1950,"","same_text"
"L00202","L00204","S045",1950,"","same_text"
"L00202","L00205","S045",1950,"","same_text"
"L00202","L00206","S045",1950,"","same_text"
"L00203","L00204","S045",1950,"","same_text"
"L00203","L00205","S045",1950,"","same_text"
"L00203","L00206","S045",1950,"","same_text"
"L00204","L00205","S045",1950,"","same_text"
"L00204","L00206","S045",1950,"","same_text"
"L00205","L00206","S045",1950,"","same_text"
"L00207","L00208","S046",1950,"","same_text"
"L00207","L00209","S046",1950,"","same_text"
"L00207","L00210","S046",1950,"","same_text"
"L00207","L00211","S046",1950,"","same_text"
"L00207","L00212","S046",1950,"","same_text"
"L00207","L00213","S046",1950,"","same_text"
"L00208","L00209","S046",1950,"","same_text"
"L00208","L00210","S046",1950,"","same_text"
"L00208","L00211","S046",1950,"","same_text"
"L00208","L00212","S046",1950,"","same_text"
"L00208","L00213","S046",1950,"","same_text"
"L00209","L00210","S046",1950,"","same_text"
"L00209","L00211","S046",1950,"","same_text"
"L00209","L00212","S046",1950,"","same_text"
"L00209","L00213","S046",1950,"","same_text"
"L00210","L00211","S046",1950,"","same_text"
"L00210","L00212","S046",1950,"","same_text"
"L00210","L00213","S046",1950,"","same_text"
"L00211","L00212","S046",1950,"","same_text"
"L00211","L00213","S046",1950,"","same_text"
"L00212","L00213","S046",1950,"","same_text"
"L00214","L00215","S047",1950,"","same_text"
"L00214","L00216","S047",1950,"","same_text"
"L00214","L00217","S047",1950,"","same_text"
"L00214","L00218","S047",1950,"","same_text"
"L00214","L00219","S047",1950,"","same_text"
"L00214","L00220","S047",1950,"","same_text"
"L00214","L00221","S047",1950,"","same_text"
"L00215","L00216","S047",1950,"","same_text"
"L00215","L00217","S047",1950,"","same_text"
"L00215","L00218","S047",1950,"","same_text"
"L00215","L00219","S047",1950,"","same_text"
"L00215","L00220","S047",1950,"","same_text"
"L00215","L00221","S047",1950,"","same_text"
"L00216","L00217","S047",1950,"","same_text"
"L00216","L00218","S047",1950,"","same_text"
"L00216","L00219","S047",1950,"","same_text"
"L00216","L00220","S047",1950,"","same_text"
"L00216","L00221","S047",1950,"","same_text"
"L00217","L00218","S047",1950,"","same_text"
"L00217","L00219","S047",1950,"","same_text"
"L00217","L00220","S047",1950,"","same_text"
"L00217","L00221","S047",1950,"","same_text"
"L00218","L00219","S047",1950,"","same_text"
"L00218","L00220","S047",1950,"","same_text"
"L00218","L00221","S047",1950,"","same_text"
"L00219","L00220","S047",1950,"","same_text"
"L00219","L00221","S047",1950,"","same_text"
"L00220","L00221","S047",1950,"","same_text"
"L00222","L00223","S048",1950,"","same_text"
"L00222","L00224","S048",1950,"","same_text"
"L00222","L00225","S048",1950,"","same_text"
"L00222","L00226","S048",1950,"","same_text"
"L00222","L00232","S048",1950,"","same_text"
"L00222","L00227","S048",1950,"","same_text"
"L00222","L00228","S048",1950,"","same_text"
"L00222","L00233","S048",1950,"","same_text"
"L00222","L00229","S048",1950,"","same_text"
"L00222","L00230","S048",1950,"","same_text"
"L00222","L00231","S048",1950,"","same_text"
"L00223","L00224","S048",1950,"","same_text"
"L00223","L00225","S048",1950,"","same_text"
"L00223","L00226","S048",1950,"","same_text"
"L00223","L00232","S048",1950,"","same_text"
"L00223","L00227","S048",1950,"","same_text"
"L00223","L00228","S048",1950,"","same_text"
"L00223","L00233","S048",1950,"","same_text"
"L00223","L00229","S048",1950,"","same_text"
"L00223","L00230","S048",1950,"","same_text"
"L00223","L00231","S048",1950,"","same_text"
"L00224","L00225","S048",1950,"","same_text"
"L00224","L00226","S048",1950,"","same_text"
"L00224","L00232","S048",1950,"","same_text"
"L00224","L00227","S048",1950,"","same_text"
"L00224","L00228","S048",1950,"","same_text"
"L00224","L00233","S048",1950,"","same_text"
"L00224","L00229","S048",1950,"","same_text"
"L00224","L00230","S048",1950,"","same_text"
"L00224","L00231","S048",1950,"","same_text"
"L00225","L00226","S048",1950,"","same_text"
"L00225","L00232","S048",1950,"","same_text"
"L00225","L00227","S048",1950,"","same_text"
