id	txt_length	data
S177	7490	1980-05-01
S090	7421	1958-05-25
S038	7418	1949-07-30
S013	7287	1946-11-07
S057	7070	1952-11-02
S056	7069	1952-10-19
S078	7027	1954-09-11
S200	7002	1983-11-19
S193	6978	1983-11-19
S199	6836	1983-11-19
S167	6749	1976-04-01
S060	6734	1953-01-14
S198	6634	1983-11-19
S053	6506	1952-09-28
S082	6485	1954-12-11
S187	6400	1982-08-12
S091	6351	1958-06-01
S079	6306	1954-09-25
S156	6231	1975-04-27
S196	6229	1983-11-19
S113	6089	1963-11-23
S116	5787	1963-11-23
S168	5772	1976-07-16
S069	5596	1953-10-14
S061	5431	1953-02-01
S031	5327	1948-10-16
S172	5137	1977-08-02
S170	5037	1977-01-16
S166	4952	1976-01-23
S076	4867	1954-08-28
S178	4684	1980-05-16
S194	4615	1983-11-19
S074	4546	1954-08-07
S055	4278	1952-10-12
S180	4167	1981-07-14
S197	4138	1983-11-19
S077	4114	1954-09-04
S002	4066	1943-04-29
S080	4042	1954-10-09
S081	4019	1954-10-23
S192	3998	1983-11-19
S075	3962	1954-08-21
S186	3938	1982-07-01
S174	3825	1978-04-01
S028	3554	1948-06-22
S161	3124	1975-08-01
S163	3072	1975-08-10
S165	2992	1975-09-18
S160	2780	1975-08-01
S001	2164	1943-04-29
S003	986	1943-04-29
