name,occurrences,essays
"Lamb Charles","1","La redenzione degli oggetti;"
"Lambrakis Grigoris","2","«Fuori le mura» di Vassilikós;"
"Lamennais Hugues Félicité Robert","1","Un romanzo dentro un quadro;"
"Lamettrie Julien Offray de","3","Per Fourier: II. L'ordinatore dei desideri;Giammaria Ortes;Giovanni Macchia, «Le rovine di Parigi»;"
"Landolfi Tommaso","23","Tre correnti del romanzo italiano d'oggi;Le avventure di tre orologiai e di tre automi;Fruttero & Lucentini, «Il palio delle contrade morte»;L'esattezza e il caso (per Tommaso Landolfi);Felisberto Hernández, «Nessuno accendeva le lampade»;Il fantastico nella letteratura italiana;Un'antologia di racconti «neri»;La «Biblioteca romantica» Mondadori;Situazione 1978;"
"Landru Henri Désiré","2","Le meraviglie della cronaca nera;Charlot e i finti tonti;"
"Lang Andrew","1","Mark Twain, «L'uomo che corruppe Hadleyburg»;"
"Lanza Francesco","7","«Mimi siciliani» di Francesco Lanza;La tradizione popolare nelle fiabe;"
"Laplace Pierre Simon","1","Ilya Prigogine e Isabelle Stengers, «La nuova alleanza»;"
"Larbaud Valéry","1","Perec, «La vita istruzioni per l'uso»;"
"Lascault Gilbert","1","Ditelo coi nodi;"
"Lattarulo Leonardo","3","Un'antologia di racconti «neri»;Gian Carlo Ferretti, «Il best-seller all'italiana»;"
"Laurei Stan","2","Gianni Celati, «Comiche»;"
"Laurent Méry","1","Scrittori che disegnano;"
"Lautréamont- conte di (Isidore Lucien Ducasse)","2","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);«Lo sguardo da lontano» di Claude Lévi-Strauss;"
"Lavater Johann Kaspar","1","Film e romanzo;"
"Lawrence David Herbert","6","Natura e storia nel romanzo;Definizioni di territori: l'erotico (Il sesso e il riso);Pavese e i sacrifici umani;Hemingway e noi;Manniano all'incontrario;Cartoline dall'America;"
"Lawrence Thomas Edward","2","Natura e storia nel romanzo;Senofonte, «Anabasi»;"
"Layzer David","3","Palomar e i modelli cosmologici;"
"Leach Edmund","2","Palomar e l'enciclopedia;"
"Lear Edgar","1","Definizioni di territori: il comico;"
"Lear Edward","2","Scrittori che disegnano;L'enciclopedia d'un visionario;"
"Le Corbusier (Charles Édouard Jeanneret)","1","Per Fourier: II. L'ordinatore dei desideri;"
"Ledoux Claude Nicolas","1","Per Fourier: II. L'ordinatore dei desideri;"
"Lee Vernon","3","La redenzione degli oggetti;Il fantastico nella letteratura italiana;"
"Lee Vernon (Violet Paget)","1","Fruttero & Lucentini, «Il palio delle contrade morte»;"
"Le Fanu Joseph Sheridan","1","Racconti fantastici dell'Ottocento;"
"Léger Fernand","2","La sfida al labirinto;I classici al Motel;"
"Le Goff Jacques","1","La città pensata: la misura degli spazi;"
"Lehar Franz","1","Gli amori difficili dei romanzi coi film;"
"Lehouck Emile","2","Per Fourier: II. L'ordinatore dei desideri;"
"Leibniz Gottfried Wilhelm von","10","La macchina spasmodica;Per Fourier: II. L'ordinatore dei desideri;1. Leggerezza;5. Molteplicità;Denis Diderot, «Jacques le fataliste»;La «Meditazione milanese»;II «Pasticciaccio»;Ilya Prigogine e Isabelle Stengers, «La nuova alleanza»;"
"Leiris Michel","4","2. Rapidità;«Biffures» di Michel Leiris;La filosofia di Raymond Queneau;"
"Le Lionnais François","1","La filosofia di Raymond Queneau;"
"Lely Gilbert","1","Sade è dentro di noi (Pasolini, «Salò»);"
"Lenin Nikolaj (Vladimir Il'ič Uljanov)","13","I piccoli uomini di Anton Cechov;I capitani di Conrad;Pasternak e la rivoluzione;Saremo come Omero!;Taccuino di viaggio nell'Unione Sovietica 1952;Cartoline dall'America;Autobiografia politica giovanile;Sono stato stalinista anch'io?;"
"Leonardo da Vinci","21","Per Fourier: III. Commiato. Utopia pulviscolare;Le effimere nella fortezza;La luce negli occhi;Le avventure di tre orologiai e di tre automi;3. Esattezza;Gerolamo Cardano;Francis Ponge;Appunti per una collana di ricerca morale;Furti ad arte (conversazione con Tullio Pericoli);Rosenberg dannato, I saggi a congresso, Comisso sentimentale;"
"Leone Giovanni","2","Rispettoso promemoria per mille Grandi Elettori;"
"Leonetti Francesco","5","La sfida al labirinto;Non darò più fiato alle trombe;Vittorini: progettazione e letteratura;Colloquio con Ferdinando Camon;"
"Leopardi Carlo","1","La città pensata: la misura degli spazi;"
"Leopardi Giacomo","36","Natura e storia nel romanzo;Filosofia e letteratura;Il rapporto con la luna;Due interviste su scienza e letteratura;«I Promessi Sposi»: il romanzo dei rapporti di forza;La città pensata: la misura degli spazi;1. Leggerezza;2. Rapidità;3. Esattezza;Poe tradotto da Manganelli;La conoscenza pulviscolare in Stendhal;L'esattezza e il caso (per Tommaso Landolfi);Eugenio Montale, «Forse un mattino andando»;Lo scoglio di Montale;In memoria di Sergio Solmi;Mancata fortuna del romanzo italiano;Il fantastico nella letteratura italiana;Un'antologia di racconti «neri»;Perché leggere i classici;Pavese, Carlo Levi, Robbe-Grillet, Butor, Vittorini...;Colloquio con Carlo Bo;"
"Leopardi Monaldo","1","Perché leggere i classici;"
"Leopardi Paolina","3","La città pensata: la misura degli spazi;Perché leggere i classici;"
"Leopoldo I- imperatore d'Austria","1","Savona: storia e natura;"
"Lermontov Michail Jùr'evič","2","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Leroi-Gourhan André","1","L'enciclopedia d'un visionario;"
"Leschot Jean-Frédéric","2","Le avventure di tre orologiai e di tre automi;"
"Leskov Nikolaj Semënovič","6","4. Visibilità;Appendice: Cominciare e finire;L'esattezza e il caso (per Tommaso Landolfi);Racconti fantastici dell'Ottocento;Il fantastico nella letteratura italiana;"
"Levi Carlo","39","Il midollo del leone;Tre correnti del romanzo italiano d'oggi;2. Rapidità;Ricordo di Bobi Bazlen;Carlo Levi, «Paura della libertà»;«Il futuro ha un cuore antico» di Carlo Levi;La compresenza dei tempi;Carlo Levi, «Il quaderno a cancelli»;Francis Ponge;Mancata fortuna del romanzo italiano;Libri per la discussione;Letteratura e potere (su un saggio di Alberto Asor Rosa);Litografie di Levi;Carlo Levi, un discorso totale;Ricordo di Scotellaro;La follia del mirino;Grassi e magri;Taccuino di viaggio nell'Unione Sovietica 1952;Questionario 1956;Pavese, Carlo Levi, Robbe-Grillet, Butor, Vittorini...;"
"Levi Cavaglione Pino","1","La letteratura italiana sulla Resistenza;"
"Levi Primo","14","«Il dottor Jekyll» tradotto da Fruttero & Lucentini;Primo Levi, «La ricerca delle radici»;«L'altrui mestiere» di Primo Levi;La letteratura italiana sulla Resistenza;Un'antologia di racconti «neri»;Perché scrivete?;Ricordo di Franco Antonicelli;"
"Lévi-Strauss Claude","23","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Roberto Calasso, «La rovina di Kasch»;Cecchi in Messico;Fruttero & Lucentini, «Il palio delle contrade morte»;La mappa delle metafore (Il «Pentamerone» di G.B. Basile);La tradizione popolare nelle fiabe;«Lo sguardo da lontano» di Claude Lévi-Strauss;Colloquio con Ferdinando Camon;"
"Levy Eliphas","1","Per Fourier: II. L'ordinatore dei desideri;"
"Lewis Clive Staples","1","L'arcipelago dei luoghi immaginari;"
"LewisJerry","1","«Il dottor Jekyll» tradotto da Fruttero & Lucentini;"
"Lewis Matthew Gregory","1","Castelli di delizie e castelli del terrore;"
"Lewis Sinclair","1","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Lhéritier Mlle","1","«I racconti di Mamma l'Oca» di Charles Perrault;"
"Liceti Fortunio","1","Il libro della natura in Galileo;"
"Lichtenberg Georg Christoph","2","Per Fourier: II. L'ordinatore dei desideri;5. Molteplicità;"
"Licimnio","1","Primo Levi, «La ricerca delle radici»;"
"Lidice Benès Barton","1","Ditelo coi nodi;"
"Linati Carlo","1","La «Biblioteca romantica» Mondadori;"
"Lincoln Abraham","1","Cartoline dall'America;"
"Lionni Leo","1","L'enciclopedia d'un visionario;"
"Lipparini Giuseppe","1","La «Biblioteca romantica» Mondadori;"
"Lisi Nicola","2","Carlo Levi, «Paura della libertà»;Un'antologia di racconti «neri»;"
"Livingstone David","1","«La prima guerra d'Africa» vista dai nostri padri e vista dagli abissini;"
"Llevelyn Richard","1","Eluard missionario, Ford democristiano, Mosca monarchico;"
"Llull Ramón","3","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);1. Leggerezza;Il libro, i libri;"
"Locke John","1","La «Meditazione milanese»;"
"Loiseau Dominique","1","Le avventure di tre orologiai e di tre automi;"
"Lollobrigida Gina","1","La paura di sbagliare;"
"Lombardi Satriani Raffaele","1","La tradizione popolare nelle fiabe;"
"Lombroso Cesare","1","«Il futuro ha un cuore antico» di Carlo Levi;"
"Lomonosov Michail Vasil'evič","1","Taccuino di viaggio nell'Unione Sovietica 1952;"
"London Jack","5","Joseph Conrad scrittore poeta e uomo di mare;Le capre ci guardano, Soggezione di un cane, Il marxismo spiegato ai gatti, Da Esopo a Disney;Una sfida a «flip»;Taccuino di viaggio nell'Unione Sovietica 1952;Cartoline dall'America;"
"Longanesi Leo","1","Ricordo di Vittorio Metz;"
"Longhi Roberto","1","Ricordo di Emilio Cecchi;"
"Longo Luigi","2","Il senso della durezza;L'estate del '56;"
"Loria Antonio","1","La tradizione popolare nelle fiabe;"
"Loria Arturo","1","Un'antologia di racconti «neri»;"
"Lorrain Claude Gellée","2","La luce negli occhi;Una mostra di William Turner;"
"Lotfollah","1","il mihrab;"
"Loti Pierre","2","Scrittori che disegnano;L'avventura sottomarina;"
"Lotman Jurij Michailovič","1","La tradizione popolare nelle fiabe;"
"Lotto Lorenzo","4","La squadratura (per Giulio Paolini);"
"Loubet Émile","1","Esami;"
"Lovecraft Howard Phillips","1","Reinhoud;"
"Lowry Malcolm","1","Cecchi in Messico;"
"Loyola Ignacio de","3","4. Visibilità;"
"Lubitsch Ernst","1","La città pensata: la misura degli spazi;"
"Lucentini Franco","14","«Il dottor Jekyll» tradotto da Fruttero & Lucentini;Fruttero & Lucentini, «Il palio delle contrade morte»;Jorge Luis Borges;Gian Carlo Ferretti, «Il best-seller all'italiana»;"
"Luciano di Samosata","4","L'arcipelago dei luoghi immaginari;1. Leggerezza;Poe tradotto da Manganelli;Perché leggere i classici;"
"Lucrezio Caro Tito","15","La luce negli occhi;1. Leggerezza;2. Rapidità;5. Molteplicità;Ovidio e la contiguità universale;Primo Levi, «La ricerca delle radici»;Perché leggere i classici;Ilya Prigogine e Isabelle Stengers, «La nuova alleanza»;Pietro Redondi, «Galileo eretico»;"
"Luigi Filippo d'Orléans- re di Francia","6","Un romanzo dentro un quadro;Honoré de Balzac, «I piccoli borghesi»;Roberto Calasso, «La rovina di Kasch»;"
"Luigi XIV- re di Francia","6","Com'era nuovo il Nuovo Mondo;Il viandante nella mappa;La Colonna Traiana raccontata;«I racconti di Mamma l'Oca» di Charles Perrault;Racconti fantastici dell'Ottocento;"
"Luigi XV- re di Francia","1","Le avventure di tre orologiai e di tre automi;"
"Luigi XVI- re di Francia","2","Le avventure di tre orologiai e di tre automi;Roberto Calasso, «La rovina di Kasch»;"
"Luigi XVII- re di Francia","1","Roberto Calasso, «La rovina di Kasch»;"
"Lukacs György","11","Il midollo del leone;L'antitesi operaia;Brecht;Pasternak e la rivoluzione;Le sorti del romanzo;Questioni sul realismo;Gian Carlo Ferretti, «Il best-seller all'italiana»;Libri per la discussione;Quattro domande sul cinema italiano;Nord e Roma-Sud;L'estate del '56;"
"Lussu Emilio","1","La letteratura italiana sulla Resistenza;"
"Lutero Martin (Luther Martin)","3","Per Fourier: III. Commiato. Utopia pulviscolare;«Le fiabe del focolare» di Jacob e Wilhelm Grimm;Grassi e magri;"
"Luzi Mario","1","Inchiesta 1966;"
"Lysenko Trofim Denisovič","1","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Macchia Giovanni","9","La conoscenza pulviscolare in Stendhal;Giovanni Macchia, «Le rovine di Parigi»;Aleksandr Fadeev, «La disfatta»;"
"Machiavelli Niccolò","7","Tre correnti del romanzo italiano d'oggi;Due interviste su scienza e letteratura;Guida alla «Chartreuse» a uso dei nuovi lettori;«Novelline popolari siciliane» di Giuseppe Pitrè;Letteratura e potere (su un saggio di Alberto Asor Rosa);Cocteau angelico, Caldwell moralista, Da Eschilo a García Lorca;Celeste Negarville;"
"Maestri Anna","1","Tra i pioppi della risaia la «cinecittà» delle mondine;"
"Magarshack David","1","I piccoli uomini di Anton Cechov;"
"Magellano Ferdinando","2","Il viandante nella mappa;Savona: storia e natura;"
"Maglione Milvia","1","Ditelo coi nodi;"
"Magnani Anna","1","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Magnasco Alessandro","1","Liguria;"
"Magone","1","Savona: storia e natura;"
"Magris Claudio","4","Che cosa vuol dire «rispettare la vita»;"
"Mailer Norman","2","Cartoline dall'America;La mia città è New York;"
"Mailly- cavaliere di","1","«I racconti di Mamma l'Oca» di Charles Perrault;"
"Maistre Joseph de","1","Per Fourier: II. L'ordinatore dei desideri;"
"Majakovskij Vladimir Vladimirovič","11","La sfida al labirinto;«Il futuro ha un cuore antico» di Carlo Levi;Questioni sul realismo;La «tematica industriale»;Taccuino di viaggio nell'Unione Sovietica 1952;Cartoline dall'America;Diario americano 1960;"
"Malerba Luigi","3","Luigi Malerba, «Le parole abbandonate»;"
"Malibran (Maria de la Felicidad)","1","Scrittori che disegnano;"
"Mallarmé Stéphane","17","Vittorini: progettazione e letteratura;Filosofia e letteratura;Per Fourier: II. L'ordinatore dei desideri;La penna in prima persona (Per i disegni di Saul Steinberg);I livelli della realtà in letteratura;Scrittori che disegnano;3. Esattezza;5. Molteplicità;Appendice: Cominciare e finire;Omaggio a Octavio Paz;La filosofia di Raymond Queneau;Perché leggere i classici;Il libro, i libri;«Lo sguardo da lontano» di Claude Lévi-Strauss;"
"Malory Thomas","1","Libri di cavalleria: Tirant lo Blanc;"
"Malraux André","7","Natura e storia nel romanzo;Tre correnti del romanzo italiano d'oggi;Giovanni Macchia, «Le rovine di Parigi»;Hemingway e noi;Pasternak e la rivoluzione;Questioni sul realismo;Cartoline dall'America;"
"Maltz Albert","1","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Mancini Antonio","1","Silvio Micheli, «Pane duro»;"
"Mandeville Bernard de","1","Giammaria Ortes;"
"Manganelli Giorgio","24","Un progetto di pubblico;L'arcipelago dei luoghi immaginari;Carlo Collodi, «Pinocchio»;Poe tradotto da Manganelli;Notizia su Giorgio Manganelli;Manganelli, «Hilarotragoedia»;Manganelli, «Centuria»;«Amica ironia» di Guido Almansi;Che cosa vuol dire «rispettare la vita»;La mia città è New York;"
"Mangano Silvana","2","Tra i pioppi della risaia la «cinecittà» delle mondine;"
"Manguel Alberto","1","L'arcipelago dei luoghi immaginari;"
"Mann Thomas","20","Il midollo del leone;5. Molteplicità;Appendice: Cominciare e finire;Henry James, «Daisy Miller»;Dino Buzzati;Brecht;Manniano all'incontrario;Le sorti del romanzo;«Amica ironia» di Guido Almansi;Gli amori difficili dei romanzi coi film;La noia a Venezia;L'agio dei libri;Questionario 1956;Ricordo di Felice Balbo;"
"Mansfield Katherine","3","«È stato così» di Natalia Ginzburg;Risposte a 9 domande sul romanzo;Dino Buzzati;"
"Manuel Frank E.","1","Per Fourier: II. L'ordinatore dei desideri;"
"Manuzio Aldo","1","2. Rapidità;"
"Manzini Gianna","1","Inchiesta 1966;"
"Manzoni Alessandro","27","Il midollo del leone;«I Promessi Sposi»: il romanzo dei rapporti di forza;La «Meditazione milanese»;II «Pasticciaccio»;L'esattezza e il caso (per Tommaso Landolfi);«L'altrui mestiere» di Primo Levi;Silvio Micheli, «Un figlio ella disse»;Mancata fortuna del romanzo italiano;Risposte a 9 domande sul romanzo;Castelli di delizie e castelli del terrore;«Amica ironia» di Guido Almansi;Un'antologia di racconti «neri»;Al di là della paura;"
"Manzoni Carlo","1","Ricordo di Vittorio Metz;"
"Mao Tse-Tung","2","Taccuino di viaggio nell'Unione Sovietica 1952;Sono stato stalinista anch'io?;"
"Maometto","2","Washington Irving;Le sette principesse di Nezami;"
"March Fredric","1","«Il dottor Jekyll» tradotto da Fruttero & Lucentini;"
"Marchetti Giovanni","1","L'esattezza e il caso (per Tommaso Landolfi);"
"Marchianò Grazia","1","Carlo Collodi, «Pinocchio»;"
"Marcovecchio Aldo","1","Carlo Levi, «Il quaderno a cancelli»;"
"Marcus Steven","1","Gli dèi della città;"
"Marcuse Herbert","1","Per Fourier: II. L'ordinatore dei desideri;"
"Margherita Teresa- infanta di Spagna","1","Savona: storia e natura;"
"Mari Enzo","1","Palomar e la foresta genealogica;"
"Maria Antonietta- regina di Francia","1","Le avventure di tre orologiai e di tre automi;"
"Marinetti Filippo Tommaso","4","Un'antologia di racconti «neri»;La «Biblioteca romantica» Mondadori;"
"Marino Giambattista","2","Le sette principesse di Nezami;Il fantastico nella letteratura italiana;"
"Mario Gaio","1","II maiale e l'archeologo;"
"Mariotti Giovanni","1","Junichiro Tanizaki, «Libro d'ombra»;"
"Marlowe Christopher","1","Perché leggere i classici;"
"Martin Etienne","1","Ditelo coi nodi;"
"Martinelli Tristano","1","Gianni Celati, «Comiche»;"
"Martini Fausto Maria","1","La «Biblioteca romantica» Mondadori;"
"Martini Ferdinando","4","Carlo Collodi, «Pinocchio»;La «Biblioteca romantica» Mondadori;"
"Marussig Guido","1","Album di francobolli;"
"Marx Chico","4","Il sigaro di Groucho;L'arcipelago dei luoghi immaginari;Gianni Celati, «Comiche»;"
"Marx Groucho","4","Il sigaro di Groucho;L'arcipelago dei luoghi immaginari;Gianni Celati, «Comiche»;"
"Marx Harpo","4","Il sigaro di Groucho;L'arcipelago dei luoghi immaginari;Gianni Celati, «Comiche»;"
"Marx Karl Heinrich","17","La sfida al labirinto;Per Fourier: II. L'ordinatore dei desideri;Per Fourier: III. Commiato. Utopia pulviscolare;I capitani di Conrad;Roberto Calasso, «La rovina di Kasch»;Nekrasov, un caso di coscienza;Pasternak e la rivoluzione;Saremo come Omero!;Freud e il marxismo, Cupido attraverso i tempi, Hollywood puritana;Autobiografia politica giovanile;Le età dell'uomo;"
"Masaccio (Tommaso di Giovanni)","1","Grassi e magri;"
"Mascolo Dyonis","1","Vittorini: progettazione e letteratura;"
"Massaia Guglielmo","1","«La prima guerra d'Africa» vista dai nostri padri e vista dagli abissini;"
"Masters Edgard Lee","1","Pavese in tre libri;"
"Mastronardi Lucio","4","Ricordo di Lucio Mastronardi;"
"Masuccio Salernitano","1","Il fantastico nella letteratura italiana;"
"Matacotta Franco","1","Questioni sul realismo;"
"Matazone da Caligano","1","«Le parità e le storie morali dei nostri villani» di Serafino Amabile Guastella;"
"Matta Sebastian","2","Per Sebastian Matta;"
"Matteotti Giacomo","1","Elio Vittorini, «Il garofano rosso»;"
"Matthiessen Francis Otto","1","Libri per la discussione;"
"Mattioli Raffaele","1","In memoria di Sergio Solmi;"
"Maupassant Guy de","16","Scrittori che disegnano;Appendice: Cominciare e finire;Joseph Conrad scrittore poeta e uomo di mare;Cento anni di Maupassant;Guy de Maupassant, «Pierre et Jean»;«È stato così» di Natalia Ginzburg;Risposte a 9 domande sul romanzo;Una nuova collana: i «Centopagine» Einaudi;La «Biblioteca romantica» Mondadori;Gli amori difficili dei romanzi coi film;"
"Mauriac François","1","Rosenberg dannato, I saggi a congresso, Comisso sentimentale;"
"Mauss Marcel","3","«Biffures» di Michel Leiris;Sette fiasche di lacrime;"
"Mayer Hans","1","La filosofia di Raymond Queneau;"
"Mazzini Giuseppe","1","Savona: storia e natura;"
"Mazzoni Guido","1","La «Biblioteca romantica» Mondadori;"
"Mazzucchetti Lavinia","1","La «Biblioteca romantica» Mondadori;"
"Mc Caffery John K.M.","1","Hemingway e noi;"
"Mc Carthy Joseph","1","Elezioni e cultura;"
"Merleau Ponty Maurice","1","Eugenio Montale, «Forse un mattino andando»;"
"Mélétinski Eleazar Moisevič","1","La tradizione popolare nelle fiabe;"
"Melman Seymour","1","L'antitesi operaia;"
"Melotti Fausto","5","Le effimere nella fortezza;I segni alti (per Fausto Melotti);"
"Melville Herman","9","Natura e storia nel romanzo;Tre correnti del romanzo italiano d'oggi;Pavese: essere e fare;Mark Twain, «L'uomo che corruppe Hadleyburg»;Sherwood Anderson scrittore artigiano;Perec, «La vita istruzioni per l'uso»;La «Biblioteca romantica» Mondadori;Una mostra di William Turner;Le capre ci guardano, Soggezione di un cane, Il marxismo spiegato ai gatti, Da Esopo a Disney;"
"Menandro","1","La letteratura come proiezione del desiderio (Per l'«Anatomia della critica» di Northrop Frye);"
"Menard Pierre","1","Furti ad arte (conversazione con Tullio Pericoli);"
"Mendeleev Dmitrij lvanovič","2","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Menelik- negus d'Etiopia","4","«La prima guerra d'Africa» vista dai nostri padri e vista dagli abissini;"
"Menjou Adolphe","1","Cecchi in Messico;"
"Menna Filiberto","1","Per Fourier: II. L'ordinatore dei desideri;"
"Mercator Gerardo","1","Com'era nuovo il Nuovo Mondo;"
"Mercier Louis Sébastien","1","Giovanni Macchia, «Le rovine di Parigi»;"
"Meredith George","1","La «Biblioteca romantica» Mondadori;"
"Mérimée Prosper","3","Scrittori che disegnano;L'esattezza e il caso (per Tommaso Landolfi);Racconti fantastici dell'Ottocento;"
"Merlini Domenico","2","«Le parità e le storie morali dei nostri villani» di Serafino Amabile Guastella;"
"Meryon Charles","1","Giovanni Macchia, «Le rovine di Parigi»;"
"Meselson Matthew Stanley","1","«Turbare l'universo» di Freeman Dyson;"
"Messager Annette","1","Collezione di sabbia;"
"Messia Agatuzza","5","La tradizione popolare nelle fiabe;«Novelline popolari siciliane» di Giuseppe Pitrè;"
"Metz Vittorio","3","Ricordo di Vittorio Metz;"
"Mezzana Cesare","1","Album di francobolli;"
"Michaux Henri","1","2. Rapidità;"
"Michelet Jules","1","Scrittori che disegnano;"
"Micheli Silvio","10","Silvio Micheli, «Pane duro»;Silvio Micheli, «Un figlio ella disse»;La letteratura italiana sulla Resistenza;"
"Michelotti Gigi","1","Charlot e i finti tonti;"
"Michetti Francesco Paolo","1","Album di francobolli;"
"Mičurin Ivan Vladimirovič","1","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Mila Massimo","8","Le poesie politiche di Pavese;Umanesimo e marxismo;Ritratto di Massimo Mila;"
"Milanese Cesare","3","La macchina spasmodica;"
"Milano Paolo","1","Sul tradurre;"
"Millais John Everett","1","Una mostra di William Turner;"
"Miller Henry","7","La sfida al labirinto;Definizioni di territori: l'erotico (Il sesso e il riso);La filosofia di Raymond Queneau;La «tematica industriale»;Situazione 1978;La mia città è New York;"
"Mills Charles Wright","1","La «Meditazione milanese»;"
"Milton John","2","La letteratura come proiezione del desiderio (Per l'«Anatomia della critica» di Northrop Frye);Jorge Luis Borges;"
"Mistral Frédéric","1","«Le parità e le storie morali dei nostri villani» di Serafino Amabile Guastella;"
"Mittner Ladislao","1","«Le fiabe del focolare» di Jacob e Wilhelm Grimm;"
"Moakley Gertrude","1","Il mondo alla rovescia;"
"Modotti Tina","1","Un leader comunista: Vittorio Vidali;"
"Molière (Jean-Baptiste Poquelin)","3","Per Fourier: II. L'ordinatore dei desideri;Honoré de Balzac, «I piccoli borghesi»;Cocteau angelico, Caldwell moralista, Da Eschilo a García Lorca;"
"Molineri Giuseppe Cesare","1","Un'antologia di racconti «neri»;"
"Mondaini Giacinto (detto Giaci)","1","Krasavcenko sereno, Giannini neofita, Bing Crosby teologo;"
"Mondrian Piet (Pieter Cornelis Mondriaan)","1","Il mare dell'oggettività;"
"Monelli Paolo","1","Hemingway burbero benefico, Dante qualunquista, Omero antimilitarista;"
"Monicelli Mario","1","Il realismo italiano nel cinema e nella narrativa;"
"Monnier Henri","1","Honoré de Balzac, «I piccoli borghesi»;"
"Monod Jacgues","3","Ilya Prigogine e Isabelle Stengers, «La nuova alleanza»;Che cosa vuol dire «rispettare la vita»;"
"Montagnana Mario","5","Un leader comunista: Vittorio Vidali;Autobiografia politica giovanile;Gli anni dell'«Unità»;"
"Montaigne Michel de","6","Defoe: «Robinson Crusoe», il giornale delle virtù mercantili;Il libro della natura in Galileo;La conoscenza pulviscolare in Stendhal;Giovanni Macchia, «Le rovine di Parigi»;In memoria di Sergio Solmi;Perché leggere i classici;"
"Montale Eugenio","34","Il midollo del leone;Natura e storia nel romanzo;Tre correnti del romanzo italiano d'oggi;Vittorini: progettazione e letteratura;Usi politici giusti e sbagliati della letteratura;1. Leggerezza;3. Esattezza;Ricordo di Bobi Bazlen;Ricordo di Emilio Cecchi;Natalia Ginzburg o le possibilità del romanzo borghese;Eugenio Montale, «Forse un mattino andando»;Lo scoglio di Montale;In memoria di Sergio Solmi;Marianne Moore;La «Biblioteca romantica» Mondadori;Mondo scritto e mondo non scritto;Al di là della paura;Liguria;Autobiografia politica giovanile;Intervista di Maria Corti;"
"Montanelli Indro","1","La letteratura italiana sulla Resistenza;"
"Monterroso Augusto","1","2. Rapidità;"
"Montesquieu Charles Louis de Secondat","3","Per Fourier: II. L'ordinatore dei desideri;Com'era nuovo il Nuovo Mondo;II «Pasticciaccio»;"
"Montezuma","13","Montezuma e Cortés;«Cannibali e re» di Marvin Harris;"
"Monti Augusto","2","Le poesie politiche di Pavese;Le lettere di Pavese;"
"Monticelli Roberto de","1","Pavese, Carlo Levi, Robbe-Grillet, Butor, Vittorini...;"
"Moore George","1","La «Biblioteca romantica» Mondadori;"
"Moore Marianne","8","3. Esattezza;Marianne Moore;Mondo scritto e mondo non scritto;"
"Morandi Giorgio","1","Tre correnti del romanzo italiano d'oggi;"
"Morante Elsa","9","Tre correnti del romanzo italiano d'oggi;Un progetto di pubblico;Primo Levi, «La ricerca delle radici»;Un romanzo sul serio («Menzogna e sortilegio» di Elsa Morante);Questionario 1956;"
"Moravia Alberto","28","Il midollo del leone;Tre correnti del romanzo italiano d'oggi;Non darò più fiato alle trombe;Definizioni di territori: l'erotico (Il sesso e il riso);L'estremismo;Un progetto di pubblico;Natalia Ginzburg o le possibilità del romanzo borghese;Un romanzo sul serio («Menzogna e sortilegio» di Elsa Morante);La letteratura italiana sulla Resistenza;Mancata fortuna del romanzo italiano;Risposte a 9 domande sul romanzo;Inchiesta 1966;Letteratura e potere (su un saggio di Alberto Asor Rosa);La paura di sbagliare;Gli amori difficili dei romanzi coi film;Quattro domande sul cinema italiano;Su Pasolini: una risposta a Moravia;La città di domani;Se la parola non serve;Questionario 1956;"
"Moreau Jeanne","1","«L'eclisse» di Antonioni;"
"Morelli Giovanni","1","Carlo Ginzburg, «Spie: radici di un paradigma indiziario»;"
"Moretti Marino","1","La «Biblioteca romantica» Mondadori;"
"Moretti Nanni","1","«Anni di piombo» di Margarethe von Trotta;"
"Morin Violette","1","«Mimi siciliani» di Francesco Lanza;"
"Moro Aldo","12","Il paese non può attendere;Le cose mai uscite da quella prigione;Rispettoso promemoria per mille Grandi Elettori;Moro ovvero una tragedia del potere;"
"Moro Tommaso (Thomas More)","1","Per Fourier: III. Commiato. Utopia pulviscolare;"
"Morris William","4","La sfida al labirinto;La città scritta: epigrafi e graffiti;La redenzione degli oggetti;"
"Mosca Giovanni","7","Eluard missionario, Ford democristiano, Mosca monarchico;Krasavcenko sereno, Giannini neofita, Bing Crosby teologo;Ricordo di Vittorio Metz;"
"Mothe François de la","1","«I racconti di Mamma l'Oca» di Charles Perrault;"
"Motti Adriana","3","Sul tradurre;"
"Mozart Wolfgang Amadeus","1","La «Biblioteca romantica» Mondadori;"
"Muiron Just","1","Per Fourier: II. L'ordinatore dei desideri;"
"Mumford Lewis","1","Vittorini: progettazione e letteratura;"
"Munari Bruno","2","Il mare dell'oggettività;Ricordo di Vittorio Metz;"
"Murasaki Shikibu","2","La vecchia signora in kimono viola;Perché leggere i classici;"
