name,occurrences,essays
"Balzac Honoré de","55","Natura e storia nel romanzo;La sfida al labirinto;II romanzo come spettacolo;Un progetto di pubblico;Le meraviglie della cronaca nera;Scrittori che disegnano;La città pensata: la misura degli spazi;4. Visibilità;5. Molteplicità;La città-romanzo in Balzac;Honoré de Balzac, «I piccoli borghesi»;I capitani di Conrad;Gustave Flaubert, «Trois contes»;Guida alla «Chartreuse» a uso dei nuovi lettori;L' «Isola del tesoro» ha il suo segreto;Mark Twain, «L'uomo che corruppe Hadleyburg»;II «Pasticciaccio»;Natalia Ginzburg o le possibilità del romanzo borghese;Giovanni Macchia, «Le rovine di Parigi»;Ricordo di Lucio Mastronardi;Silvio Micheli, «Un figlio ella disse»;«Rancore» di Stefano Terra;Pasternak e la rivoluzione;Ricordo di Georges Perec;Perec, «La vita istruzioni per l'uso»;Ingegneri e demolitori;Saremo come Omero!;Risposte a 9 domande sul romanzo;Film e romanzo;«I racconti di Mamma l'Oca» di Charles Perrault;Racconti fantastici dell'Ottocento;Perché leggere i classici;La città di domani;Taccuino di viaggio nell'Unione Sovietica 1952;Pavese, Carlo Levi, Robbe-Grillet, Butor, Vittorini...;Colloquio con Ferdinando Camon;"
"Bandella Matteo","1","Il fantastico nella letteratura italiana;"
"Bandini Luigi","1","Umanesimo e marxismo;"
"Bandinu Bachisio","1","Luigi Malerba, «Le parole abbandonate»;"
"Banfi Antonio","1","Togliatti e De Gasperi;"
"Banti Anna","1","Il midollo del leone;"
"Barachini Danilo","1","Abbiamo vinto in molti;"
"Baratieri Oreste","4","«La prima guerra d'Africa» vista dai nostri padri e vista dagli abissini;"
"Barbato Antonio","1","«L'insostenibile leggerezza dell'essere» di Milan Kundera;"
"Barbey d'Aurevilly Jules­ Amédée","6","Scrittori che disegnano;La geografia delle fate;2. Rapidità;L'esattezza e il caso (per Tommaso Landolfi);"
"Barbiellini Amidei Gaspare","1","Luigi Malerba, «Le parole abbandonate»;"
"Barca Luciano","1","L'estate del '56;"
"Bargellini Piero","1","Carlo Collodi, «Pinocchio»;"
"Barnum Phineas Taylor","2","Il museo dei mostri di cera;II cielo, l'uomo, l'elefante (su Plinio il Vecchio);"
"Baron Jacques","1","La filosofia di Raymond Queneau;"
"Barral Carlos","1","Pavese, Carlo Levi, Robbe-Grillet, Butor, Vittorini...;"
"Barrau Jacques","1","Palomar e l'enciclopedia;"
"Barrili Anton Giulio","4","Savona: storia e natura;"
"Barth John","1","La mia città è New York;"
"Barthelme Donald","1","La mia città è New York;"
"Barthes Roland","26","Vittorini: progettazione e letteratura;Filosofia e letteratura;Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Due interviste su scienza e letteratura;II romanzo come spettacolo;Per Fourier: II. L'ordinatore dei desideri;I livelli della realtà in letteratura;In memoria di Roland Barthes;3. Esattezza;La conoscenza pulviscolare in Stendhal;Guida alla «Chartreuse» a uso dei nuovi lettori;Colloquio con Ferdinando Camon;"
"Bartholdi Frédéric Auguste","1","Com'era nuovo il Nuovo Mondo;"
"Bartók Béla","1","Esami;"
"Basevi Enrica","1","Per Fourier: II. L'ordinatore dei desideri;"
"Basile Giambattista","21","Le sette principesse di Nezami;«Le fiabe africane»;«I racconti di Mamma l'Oca» di Charles Perrault;La mappa delle metafore (Il «Pentamerone» di G.B. Basile);La tradizione popolare nelle fiabe;Sette fiasche di lacrime;Il fantastico nella letteratura italiana;"
"Bassani Giorgio","7","Tre correnti del romanzo italiano d'oggi;Le poesie politiche di Pavese;Lettera di uno scrittore «minore»;La paura di sbagliare;Questionario 1956;"
"Bataille Georges","11","Vittorini: progettazione e letteratura;Definizioni di territori: l'erotico (Il sesso e il riso);La città-romanzo in Balzac;«Biffures» di Michel Leiris;La filosofia di Raymond Queneau;Colloquio con Ferdinando Camon;"
"Battaglia Roberto","8","«La prima guerra d'Africa» vista dai nostri padri e vista dagli abissini;"
"Baudelaire Charles","22","La sfida al labirinto;Per Fourier: II. L'ordinatore dei desideri;Scrittori che disegnano;La città pensata: la misura degli spazi;Le avventure di tre orologiai e di tre automi;3. Esattezza;La città-romanzo in Balzac;Poe tradotto da Manganelli;La conoscenza pulviscolare in Stendhal;L' «Isola del tesoro» ha il suo segreto;Roberto Calasso, «La rovina di Kasch»;Giovanni Macchia, «Le rovine di Parigi»;La filosofia di Raymond Queneau;Queneau «I fiori blu»;Racconti fantastici dell'Ottocento;"
"Bauer Riccardo","1","Ritratto di Massimo Mila;"
"Bausani Alessandro","3","Le sette principesse di Nezami;"
"Bazán Francisco García","1","Carlo Collodi, «Pinocchio»;"
"Bazlen Roberto (detto Bobi)","4","Ricordo di Bobi Bazlen;In memoria di Sergio Solmi;"
"Bazzero Ambrogio","1","Un'antologia di racconti «neri»;"
"Beatles","1","L'arcipelago dei luoghi immaginari;"
"Beaumont- Mme Le Prince de","1","«I racconti di Mamma l'Oca» di Charles Perrault;"
"Beckett Samuel","17","Il mare dell'oggettività;La sfida al labirinto;Vittorini: progettazione e letteratura;Filosofia e letteratura;Definizioni di territori: l'erotico (Il sesso e il riso);4. Visibilità;Appendice: Cominciare e finire;Charles Dickens, «Our Mutual Friend»;Il fantastico nella letteratura italiana;«Amica ironia» di Guido Almansi;Corrispondenza con Angelo Guglielmi a proposito della «Sfida al labirinto»;Perché scrivete?;Reinhoud;Intervista di Alberto Arbasino;"
"Bécquer Gustavo Adolfo","2","Racconti fantastici dell'Ottocento;Il fantastico nella letteratura italiana;"
"Beethoven Ludwig van","1","«L'insostenibile leggerezza dell'essere» di Milan Kundera;"
"Beli Graham","1","Palomar nel Massachusetts;"
"Bellarmino Roberto","1","Pietro Redondi, «Galileo eretico»;"
"Belli Giuseppe Gioacchino","5","2. Rapidità;Primo Levi, «La ricerca delle radici»;Letteratura, città aperta?;Mancata fortuna del romanzo italiano;"
"Bellocchio Piergiorgio","1","Charles Dickens, «Our Mutual Friend»;"
"Bellow Saul","3","Situazione 1978;La mia città è New York;"
"Beltrame Achille","1","I ritratti del Duce;"
"Bembo Bonifacio","1","Il mondo alla rovescia;"
"Benda Julien","1","Rosenberg dannato, I saggi a congresso, Comisso sentimentale;"
"Benedetti Arrigo","1","La letteratura italiana sulla Resistenza;"
"Benevolo Leonardo","3","Per Fourier: II. L'ordinatore dei desideri;"
"Benjamin Walter","11","Per Fourier: II. L'ordinatore dei desideri;Appendice: Cominciare e finire;La città-romanzo in Balzac;Giovanni Macchia, «Le rovine di Parigi»;Omaggio a Octavio Paz;La filosofia di Raymond Queneau;"
"Benn Gottfried","1","3. Esattezza;"
"Benoit Pierre","1","L'arcipelago dei luoghi immaginari;"
"Benveniste Émile","1","«Lo sguardo da lontano» di Claude Lévi-Strauss;"
"Berchet Giovanni","1","La «Biblioteca romantica» Mondadori;"
"Berenson Bernard","1","Ricordo di Emilio Cecchi;"
"Bergson Henri","3","Umanesimo e marxismo;Ilya Prigogine e Isabelle Stengers, «La nuova alleanza»;Autobiografia politica giovanile;"
"Berkeley George","1","La luce negli occhi;"
"Bernanos Georges","1","Rosenberg dannato, I saggi a congresso, Comisso sentimentale;"
"Bernardini Marzolla Piero","2","Ovidio e la contiguità universale;"
"Bernari Carlo","1","La letteratura italiana sulla Resistenza;"
"Bernoulli Johann","2","Le avventure di tre orologiai e di tre automi;"
"Berrini Nino","1","La letteratura italiana sulla Resistenza;"
"Bersezio Vittorio","1","Silvio Micheli, «Pane duro»;"
"Bertacchini Renato","1","Carlo Collodi, «Pinocchio»;"
"Berthoud Ferdinand","1","Le avventure di tre orologiai e di tre automi;"
"Bertillon Alphonse","1","Carlo Ginzburg, «Spie: radici di un paradigma indiziario»;"
"Bethe Hans Albrecht","1","«Turbare l'universo» di Freeman Dyson;"
"Betti Paolo","1","Celeste Negarville;"
"Betussi Giuseppe","1","2. Rapidità;"
"Biagi Guido","2","La «Biblioteca romantica» Mondadori;"
"Bianchi Bandinelli Ranuccio","1","La Colonna Traiana raccontata;"
"Bianchi Gustavo","1","«La prima guerra d'Africa» vista dai nostri padri e vista dagli abissini;"
"Bianchi Pietro","1","«L'eclisse» di Antonioni;"
"Bianchini Angela","2","I cavalieri del Graal;"
"Bianciardi Luciano","1","La «tematica industriale»;"
"Bianconi Bernardi Fulvia","1","Viaggio, dialogo, utopia;"
"Bierce Ambrose","1","Racconti fantastici dell'Ottocento;"
"Bigiaretti Libero","2","Saremo come Omero!;"
"Bigongiari Piero","1","Francis Ponge;"
"Bilenchi Romano","2","Tre correnti del romanzo italiano d'oggi;Inchiesta 1966;"
"Bioy Casares Adolfo","2","2. Rapidità;Del prendere posizione;"
"Bixio Nino","1","«La prima guerra d'Africa» vista dai nostri padri e vista dagli abissini;"
"Blake William","2","Una mostra di William Turner;"
"Blanchot Maurice","5","Vittorini: progettazione e letteratura;Per Fourier: II. L'ordinatore dei desideri;I livelli della realtà in letteratura;Colloquio con Ferdinando Camon;"
"Blanqui Louis Auguste","1","Giovanni Macchia, «Le rovine di Parigi»;"
"Blasetti Alessandro","1","Fascismo psicanalizzato, Ferderzoni beneducato, Valenti oleografico;"
"Bloy Léon","1","Roberto Calasso, «La rovina di Kasch»;"
"Blumenberg Hans","1","5. Molteplicità;"
"Bo Carlo","6","L'esattezza e il caso (per Tommaso Landolfi);Lettera a Pratolini sul «Metello»;Quattro domande sul cinema italiano;Questionario 1956;Colloquio con Carlo Bo;"
"Bobbio Norberto","1","Ricordo di Franco Antonicelli;"
"Boccaccio Giovanni","17","I livelli della realtà in letteratura;1. Leggerezza;2. Rapidità;Appendice: Cominciare e finire;Bachtin;Castelli di delizie e castelli del terrore;I cavalieri del Graal;«Amica ironia» di Guido Almansi;Il libro, i libri;"
"Boccanegra Guglielmo","1","Il terzo lato è il mare (Genova, Piazza Caricamento);"
"Boccasile Gino","1","Freud e il marxismo, Cupido attraverso i tempi, Hollywood puritana;"
"Bocelli Arnaldo","1","Questionario 1956;"
"Bodoni Giovanni Battista","1","La città scritta: epigrafi e graffiti;"
"Boiardo Matteo Maria","8","L'arcipelago dei luoghi immaginari;Ariosto: la struttura dell'Orlando Furioso;Castelli di delizie e castelli del terrore;Il fantastico nella letteratura italiana;Libri di cavalleria: Tirant lo Blanc;"
"Boileau Nicolas","2","La filosofia di Raymond Queneau;«I racconti di Mamma l'Oca» di Charles Perrault;"
"Boine Giovanni","2","Ricordo di Emilio Cecchi;Liguria;"
"Boito Arrigo","2","Racconti fantastici dell'Ottocento;Un'antologia di racconti «neri»;"
"Boito Camilla","3","Gli amori difficili dei romanzi coi film;"
"Bolis Luciano","1","La letteratura italiana sulla Resistenza;"
"Bolívar Simón","1","Album di francobolli;"
"Böll Heinrich","1","Filosofia e letteratura;"
"Bollati Giulio","3","Primo Levi, «La ricerca delle radici»;Mancata fortuna del romanzo italiano;«Le fiabe del focolare» di Jacob e Wilhelm Grimm;"
"Bompiani Valentino","1","Natura;"
"Bonalumi Louis","1","La «Meditazione milanese»;"
"Bonaparte Gerolamo","1","«Le fiabe del focolare» di Jacob e Wilhelm Grimm;"
"Bonaparte Napoleone","6","Un romanzo dentro un quadro;Lev Tolstoj, «Due ussari»;«Le fiabe del focolare» di Jacob e Wilhelm Grimm;Una mostra di William Turner;Savona: storia e natura;"
"Bonaparte Napoleone III","3","Per Fourier: II. L'ordinatore dei desideri;Un romanzo dentro un quadro;La Colonna Traiana raccontata;"
"Bonaviri Giuseppe","2","«Notti sull'altura» di Giuseppe Bonaviri;"
"Boni Enrico","1","Un'antologia di racconti «neri»;"
"Bonsanti Alessandro","1","Inchiesta 1966;"
"Bontempelli Massimo","9","3. Esattezza;Ricordo di Emilio Cecchi;Umanesimo e marxismo;Mancata fortuna del romanzo italiano;Il fantastico nella letteratura italiana;Un'antologia di racconti «neri»;La «Biblioteca romantica» Mondadori;"
"Bonvesin de la Riva","1","La città pensata: la misura degli spazi;"
"Booth Wayne","1","«Amica ironia» di Guido Almansi;"
"Bordaberry Arocena Juan Maria","2","Onetti arrestato a Montevideo;"
"Borges Jorge Luis","39","La sfida al labirinto;Filosofia e letteratura;Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Definizioni di territori: l'erotico (Il sesso e il riso);I livelli della realtà in letteratura;Il viandante nella mappa;2. Rapidità;3. Esattezza;5. Molteplicità;Appendice: Cominciare e finire;Ricordo di Emilio Cecchi;Fruttero & Lucentini, «Il palio delle contrade morte»;L'esattezza e il caso (per Tommaso Landolfi);Eugenio Montale, «Forse un mattino andando»;Jorge Luis Borges;Perec, «La vita istruzioni per l'uso»;Junichiro Tanizaki, «Libro d'ombra»;Risposte a 9 domande sul romanzo;«Mimi siciliani» di Francesco Lanza;Racconti fantastici dell'Ottocento;Il fantastico nella letteratura italiana;Un'antologia di racconti «neri»;Furti ad arte (conversazione con Tullio Pericoli);Diario dell'ultimo venuto;La mia città è New York;"
"Borgese Giuseppe Antonio","9","La «Biblioteca romantica» Mondadori;"
"Boron Robert de","1","I cavalieri del Graal;"
"Borsi Franco","1","Il terzo lato è il mare (Genova, Piazza Caricamento);"
