id	label	type
"essay-297"	"Ilya Prigogine e Isabelle Stengers, La nuova alleanza"	"essay"
"essay-303"	"Pietro Redondi, Galileo eretico"	"essay"
"essay-304"	"Fato antico e fato moderno di Giorgio de Santillana"	"essay"
"person-67"	"Arliss George"	"person"
"essay-132"	"Cecchi in Messico"	"essay"
"person-68"	"Armendariz Pedro"	"person"
"essay-266"	"La paura di sbagliare"	"essay"
"person-69"	"Amim Ludwig Achim von"	"person"
"essay-48"	"Il patrimonio dei draghi"	"essay"
"essay-85"	"4. Visibilità"	"essay"
"essay-223"	"Le fiabe del focolare di Jacob e Wilhelm Grimm"	"essay"
"essay-231"	"Racconti fantastici dell'Ottocento"	"essay"
"essay-233"	"11 fantastico nella letteratura italiana"	"essay"
"person-70"	"Arpino Giovanni"	"person"
"essay-248"	"La «tematica industriale»"	"essay"
"person-71"	"Artaud Antonin"	"person"
"essay-9"	"La sfida al labirinto"	"essay"
"essay-133"	"Gianni Celati, Comiche"	"essay"
"person-72"	"Asafiev Boris"	"person"
"essay-362"	"Taccuino di viaggio nell'Unione Sovietica"	"essay"
"person-73"	"Aschenbach Gustav von"	"person"
"essay-268"	"La noia a Venezia"	"essay"
"person-74"	"Asor Rosa Alberto"	"person"
"essay-37"	"Usi politici giusti e sbagliati della letteratura"	"essay"
"essay-258"	"Letteratura e potere (su un saggio di Alberto Asor Rosa)"	"essay"
"person-75"	"Astor John Jacob"	"person"
"essay-105"	"Washington Irving"	"essay"
"person-76"	"Ataturk Kemal"	"person"
"essay-374"	"Autobiografia politica giovanile"	"essay"
"person-77"	"Attilio Regolo"	"person"
"essay-286"	"Una mostra di William Turner"	"essay"
"person-78"	"Auer Misha"	"person"
"essay-365"	"I classici al Motel"	"essay"
"person-79"	"Auerbach Erich"	"person"
"essay-87"	"Appendice: Cominciare e finire"	"essay"
"essay-216"	"Questioni sul realismo"	"essay"
"essay-246"	"Libri per la discussione"	"essay"
"person-80"	"Aulnoy Marie CatheÃÅrine Madame de"	"person"
"essay-224"	"I racconti di Mamma l'Oca di Charles Perrault"	"essay"
"person-81"	"Austen Jane"	"person"
"essay-142"	"Natalia Ginzburg o le possibilità del romanzo borghese"	"essay"
"essay-217"	"Risposte a 9 domande sul romanzo"	"essay"
"essay-234"	"Amica ironia di Guido Almansi"	"essay"
"essay-241"	"La «Biblioteca romantica» Mondadori"	"essay"
"person-82"	"Austin William"	"person"
"essay-231"	"Racconti fantastici dell'Ottocento"	"essay"
"person-83"	"AverroeÃÄ"	"person"
"essay-287"	"La squadratura (per Giulio Paolini)"	"essay"
